2017-10-1,274,391.74,33.9882,26.3176,4.219907757541323
2017-10-2,275,390.18,33.5466,25.8402,4.1725306305525915
2017-10-3,276,388.62,32.3265,24.76,4.018228659497033
2017-10-4,277,387.03,32.5882,24.5363,4.12984559615159
2017-10-5,278,385.44,32.0249,24.8748,3.866327720504434
2017-10-6,279,383.83,29.5294,24.3945,3.157834775540394
2017-10-7,280,382.21,26.065,24.4011,1.720851040317655
2017-10-8,281,380.58,32.0108,25.0641,3.7700130910075886
2017-10-9,282,378.94,33.0994,24.871,4.1248877346327335
2017-10-10,283,377.29,30.3505,25.5395,3.0705211909382957
2017-9-27,270,397.81,35.2267,26.5818,4.620596418649521
2017-10-12,285,373.96,32.7136,24.6721,3.999036311041106
2017-10-11,284,375.63,27.685,22.8549,2.8839530979093033
2017-10-13,286,372.28,28.8351,22.4533,3.313970197946544
2017-10-14,287,370.6,31.4804,22.9589,3.950399772591696
2017-10-16,289,367.21,21.252,19.1527,1.6399767838530914
2017-10-15,288,368.91,30.0196,20.1523,4.030975170333386
2017-10-17,290,365.51,22.8807,19.5182,2.120139250555221
2017-10-18,291,363.8,21.7411,19.6945,1.6259835500506659
2017-9-26,269,399.28,31.9837,26.2544,3.637081583695863
2017-9-28,271,396.31,36.0168,26.9624,4.767554398295325
2017-9-30,273,393.28,30.528,26.1942,3.0654055353279137
2017-9-25,268,400.74,29.1269,25.6009,2.7565811313095923
2017-9-29,272,394.8,33.7366,26.5108,4.125208912200872
2017-9-24,267,402.18,36.0924,27.3162,4.784010714889517
2017-10-19,292,362.1,26.9025,21.5039,2.866335169051597
2017-10-20,293,360.39,30.3756,23.3816,3.453906653462975
2017-10-21,294,358.68,28.4322,22.5629,3.0516809864104277
2017-10-22,295,356.96,27.8023,22.7458,2.8043728937893637
2017-10-23,296,355.25,25.2371,21.411,2.3178408761891314
2017-10-24,297,353.55,29.0249,21.731,3.3440153106241466
2017-10-25,298,351.84,29.7777,22.0011,3.476895733606881
2017-10-26,299,350.13,28.7093,22.9449,2.9746660577681334
2017-10-28,301,346.74,31.2527,22.9867,3.6321517640968786
2017-10-29,302,345.05,30.6327,19.72,3.9733165103219683
2017-10-27,300,348.44,31.8129,23.0635,3.7817947219828474
2017-10-30,303,343.37,27.0718,18.1623,3.359921418758046
2017-10-31,304,341.7,27.277,18.4428,3.3494260422362903
2017-11-1,305,340.04,29.7496,19.0897,3.8018650363315616
2017-11-2,306,338.39,30.0908,20.129,3.7172299370093613
2017-11-10,314,325.68,29.0483,21.5575,3.1162850431898272
2017-11-11,315,324.16,30.8523,22.4157,3.393392204466851
2017-11-12,316,322.68,28.4811,23.0953,2.6475342575960266
2017-11-13,317,321.21,30.7305,23.237,3.193944491086964
2017-11-14,318,319.76,31.5618,23.4987,3.3384030358082346
2017-11-15,319,318.34,29.9675,23.5432,2.915945967859347
2017-11-16,320,316.95,29.6677,23.8667,2.759516738508885
2017-11-6,310,331.91,25.5901,19.6189,2.658008571480252
2017-11-17,321,315.58,32.0492,25.3348,3.0836622212108504
2017-11-18,322,314.24,29.2108,17.3461,3.606445629104902
2017-11-19,323,312.92,19.3036,16.7863,1.4434584344535728
2017-11-3,307,336.75,30.5032,20.7055,3.7108929320012347
2017-11-4,308,335.12,27.9841,21.5835,2.9284013509241866
2017-11-5,309,333.51,23.7104,19.1661,2.2627026297089254
2017-11-9,313,327.21,21.8327,20.6504,1.1266602137865585
2017-11-7,311,330.32,24.5725,19.3375,2.437027695867103
2017-11-8,312,328.75,27.3647,20.3111,2.9487332528287338
2017-11-20,324,311.64,19.9107,15.0361,1.968545716962797
2017-11-22,326,309.16,19.4605,15.7535,1.7094610771020364
2017-11-21,325,310.39,18.8882,15.4209,1.6386365600818387
2017-11-27,331,303.55,22.0338,16.391,2.164712909920091
2017-11-28,332,302.53,27.5097,17.9034,3.080684826019064
2017-11-29,333,301.55,26.0729,20.7001,2.3350170262001084
2017-11-30,334,300.61,28.6767,20.0612,3.0179493613284736
2017-12-2,336,298.84,24.2789,18.4479,2.2922719018345266
2017-12-3,337,298.02,25.4653,17.6619,2.658016356782965
2017-12-1,335,299.71,22.8612,18.9991,1.850280893097507
2017-12-4,338,297.24,25.6435,16.6933,2.8106818636162414
2017-12-5,339,296.5,24.8273,15.6564,2.770561529719683
2017-12-6,340,295.8,23.719,15.9023,2.522877857250805
2017-11-26,330,304.6,20.8962,14.5846,2.205959009659869
2017-11-23,327,307.97,18.0211,13.0735,1.852856878652238
2017-11-25,329,305.69,16.2982,13.5041,1.3553164965479494
2017-11-24,328,306.81,17.0862,13.2046,1.6152701937844092
2017-12-14,348,291.8,16.5893,14.5408,1.1302396684924454
2017-12-15,349,291.51,17.7806,15.0934,1.3270113879171206
2017-12-16,350,291.26,21.2567,12.624,2.411369998314689
2017-12-17,351,291.06,19.6081,10.74,2.3181717130697637
2017-12-18,352,290.91,20.5686,11.3729,2.416391211286749
2017-12-19,353,290.8,21.0064,11.1197,2.5114332876623418
2017-12-20,354,290.74,20.5097,11.8458,2.358476820588151
2017-12-21,355,290.73,23.655,13.9321,2.6907155903357536
2017-12-22,356,290.77,19.5591,14.559,1.838357549510527
2017-12-23,357,290.85,18.6598,15.4926,1.4642373008342076
2017-12-10,344,293.44,17.9462,16.2818,1.072070311151208
2017-12-25,359,291.16,24.637,12.2337,3.0137573980526513
2017-12-26,360,291.39,21.6922,11.9658,2.552502352275109
2017-12-12,346,292.53,15.0269,13.9666,0.7890764967227765
2017-12-27,361,291.66,15.1878,13.6122,0.9561614352307858
